full_text,sentiment
hai kak mohon maaf atas tidaknyama nya apabila kakak sudah mempunyai akun djp online namun sampai saat ini belum pernah login ke coretax mohon untuk mereset password lebih dahulu dengan klik pada bagi lupa kata sandi silakan input nik bagai id guna,neutral
hai kak mohon maaf atas tidaknyama nya apa kah muncul notifikasi error kesediaan nya untuk log out dari akun coretax kemudian silakan lakukan clear cache dan cookies lebih pada browser yang guna silakan dapat guna mode private window,neutral
hai kak apa kah alamat kakak pindah ke wilayah kerja kpp lain jika benar dapat aju ubah data lalu beberapa cara 1 ubah data cara mandiri coretax · laku sebut akun wajib pajak,neutral
hhaaai sha open jasa ya ges lapor spt masa pph 21 tanggap sp 2dk bukti potong buat lapor uang sederhanalengkap tahun orang pribadi umkm badan usaha hitung pajak wa yang dibio untuk order,neutral
pajak yang bayar lewat sakti seharusnya 3480390 namun pada aplikasi coretax nilai muncul 3542143,neutral
hallo min mau tanya kalau saya betul pph 21 desember 2024 buat billing nya lalu coretax atau djp online ya karena dengan menu billing mandiri lihat tidak ada kjs nya terimakasi h,neutral
hai kak mohon maaf atas tidaknyama nya kait error connection request time out mohon kesediaan nya untuk log out dari akun coretax kemudian silakan lakukan clear cache dan cookies lebih pada browser yang guna silakan dapat guna mode private window,neutral
hallo ka aku mau berta nya kalau wnload bukti pajak ky gini di coretax tuh menu yg mana ya terima kasih,neutral
haish fuck coretax,negative
coretax bikin gw ribut ama bapak sendiri anjir,negative
hai kak kait bukti lapor nota retur batal sesuai dengan gambar yang lampir sebut untuk saat ini hanya sedia pada efaktur desktop dan belum aplikasi coretax tksol,neutral
pajak untuk komisi ke orang pribadu di coretax pakai kode apa,neutral
hallo kak aku aju mohon kembali lebih bayar pajak yang seharusnya tidak utang di coretax tapi pas bagi ini gak bisa tambah data kenapa ya,neutral
spt ppn di coretax sudah klik bayar selesai bayar dan lapor tapi induk yg wnload beda dengan konsep jual pada kosong jadi lebih padahal seharusnya kurang,negative
hai kak iya untiuk pegawai yang resign di tahun pajak 2025 silakan buat a1 coretax ya tksnaim,neutral
hallo min mau nanya bagaimana cara nya puncul faktur yg hilang di coretax hilang nya cuma bagi sudah refresh tp tetap tdk muncul,neutral
selamat siang mohon solusi nya karena saat aktivasi nik di coretax pada bagi alamat selalu gagal padahal sudah diketikpenulisan sesuai dengan ktp,neutral
nah ini bisa laku karena bengkel nya guna faktur pajak yg gunggung yang tidak isi dengan identitas beli serta nama dan tanda tangan jual hanya utk konsumen akhir dan masih akomodasi di coretax,neutral
hai kak mohon maaf atas kendala yang alam apabila masih muncul notifikasi invoice should be returned on coretax xml upload kenan untuk buat nota retur dengan guna upload xml ya untuk file dapat unduh jika,neutral
hai kak apa kah sudah pasti kembali login coretax dengan akun picdrafter dan impersonate ke badan saat ini menu ebupot masih dapat 10 item jika terkendala silakan dapat aju tiket layan meja layan ti melati lalu helpdesk kpp telepon kring,neutral
hai kak skb kait apa ya yang ingin kakak ajukan cara umum taxmin sampaikan bahwa saat ini pengajuan laku lalu coretax tksmanu,neutral
hai kak untuk spt pbb spop tahun pajak 2025 laku lalu coretax ya akan otomatis bentuk di menu konsep pada waktu tentu yaitu 1 sektor kebun tambang migas dan usaha panas bumi autocreation tanggal,neutral
hai kak mohon maaf atas tidaknyama yang alam error connection request timed out sebab karena load ke server sedang tinggi kesediaan nya untuk coba kembali cara berkala belum akses coretax saran langkah berikut 1 clear,neutral
hai kak mohon maaf atas tidaknyama yang jadi jika masih status validating data mohon kesediaan nya untuk tunggu karena dalam proses validasi ya kakak juga dapat laku hal berikut belum akses coretax 1 clear,neutral
hai kak untuk buat billing pph apa mulai tahun pajak 2025 untuk kode bisa guna akun coretax di laman lalu menu bayar gt layan mandiri kode billing selain itu kakak juga dapat bantu,neutral
hai kak mohon maaf atas tidaknyama yang alam error connection request timed out sebab karena load ke server sedang tinggi kesediaan nya untuk coba kembali cara berkala belum akses coretax saran langkah berikut 1,neutral
hai kak mohon maaf atas tidaknyama nya saat ini coretax masih dalam tahap penyempurnaan selama faktur pajak masukkan yang muncul pada lawan transaksi sudah lengkap maka fp sebut sesuai tentu silakan lakukan lapor aplikasi lati lalu kpp terdaftar,neutral
kait login coretax tetap perlu untuk jalan wajib administrasi kait pajak mulai januari 2025 ya kak dalam hal yg maksud adalah npwp sudah terdaftar dan milik akun djp online maka ketika ingin pertama kali ke silak klik,neutral
dan kait efin perlu untuk login akun djp online ya kak coretax tidak perlu misal perlu lapor spt tahun tahun pajak 2024 jika masih ada wajib belum 2025 maka silakan laku,neutral
helo sha open jasa konsultan pajak lapor spt tahun kurang bayarlebih bayar 10jt100jt bukti potong hitung buat lapor uang sederhanalengkap catat transaksi hari dari mutasi rekening wa yg dibio untuk order,neutral
hai kak mohon maaf atas tidaknyama nya silak informasikan kakak laku buat fp guna efaktur dekstop atau coretax apa kah ada notifikasi error yang muncul dapat serta tangkap layar kendala tsb tkshan i,neutral
ndak bisa jir harus coretax nyusahin emng,negative
hai kak mohon maaf atas tidaknyama nya saat ini isu kait tidaksesuai nominal pada fp uang muka termin dan lunas masih dalam tangan dari tim teknis coretax mohon kenan untuk laku pengecekan kembali cara berkala ya apabila sudah cukup lama,neutral
hai kak mohon maaf atas tidaknyama nya seperti pada penjelasan belum saat ini isu kait tidaksesuai nominal fp uang muka termin dan lunas masih dalam tangan dari tim teknis coretax mohon kenan untuk laku pengecekan kembali cara,neutral
hai kak mohon maaf atas tidaknyama nya apabila saat ini status nya masih signing in progres mohon kesediaan nya untuk tunggu faktur pajak tsb proses verifikasi sistem coretax silakan klik tombol refresh kala kena kendala perlu hingga status,neutral
hai kak apa kah maksud nya data di awal itu adalah email akun djp online jika kakak sudah hasil ubah coretax maka butuh beberapa waktu untuk dapat sinkron ke mohon kesediaan nya kecek kembali cara kala ya,neutral
hai kak saat ini bukti potong pph pasal 21 bulan belum bisa untuk wnload pdf nya namun notifikasi terbit sebut akan terkirim langsung ke akun coretax pegawai milik yang dapat lihat pada icon lonceng tksfnto,neutral
hai kak mohon maaf atas tidaknyama nya jika kakak sudah terdaftar pada akun djp online belum tetapi muncul notifikasi nama guna tidak temu saat akses lupa kata sandi di coretax silakan pilih menu aktivasi akun wajib pajak halaman depan,neutral
hai kak untuk buat uang muka kedua dan seterus nya lalu coretax silakan hati beberapa hal berikut 1 centang checkbox 2 masukkan nomor faktur pertama pada kolom 3 data detil transaksi akan terisi otomatis 4 fp,neutral
hai kak apa kah yg maksud kait pph pasal 26 jika iya kinput lalu coretax silakan akses menu ebupot kemudian pilih bpnr bupot non resident dan sesuaikan dengan jenis hasil sesuai sudah buat akan masuk ke dalam spt,neutral
mau edit di coretax juga gak bisa login lalu gimana ini min,neutral
hai kak mohon maaf atas tidaknyama nya silak informasikan kakak laku buat fp guna efaktur dekstop atau coretax apa kah ada notifikasi error yang muncul dapat serta tangkap layar kendala tsb tksanum,neutral
coretax bneran tolol pas error nsfp yg trtera dgn cetak beda no pas dibkin prganti baru sama,negative
halo min apa sudah tulul tampil dari ceta fp lunas seperti ini karena kolom uang muka nominal nya rupa dpp normal tidak sebelumnya dimana yang cetak di kolom adalah 1112,neutral
bisa jadi ini hanya sekali utk minta krn pd saat isi coretax nik itu harus isi tdk kosong beda kalau nama nya sudah badan bukan orang bengkel akal kolek data milik mobil sesuai stnk dgn nambah nik sipemilik lha pindah tangan celah nya,negative
hi mau pengajuan eskd di coretax kenapa bagi skd wpln nya gabisa simp ya padahal sudah isi sesuai dengan dgt form amp lampir cor juga pls advice,neutral
hai kak mohon maaf atas tidaknyama nya silakan coba kembali ya belum akses coretax silakan dapat coba langkahlangkah berikut 1 clear cookies dan cache pada browser 2 gunakan lain 3 private window mozillaincognito chrome,neutral
hai kak apabila retur laku pada masa april silakan bisa input nota retur nya di untuk kinput nya lalu laman coretax ya tksfaka,neutral
apakah bukti penuh wajib setor pph guna ntpn atau pbk tidakbisa di klik pilih ya tidak ada bantu cara nya min dan rekan pliss kawan,neutral
hai kak silakan pasti kembali sudah login guna akun draftersigner sptpic sehingga milik akses pada menu konsep spt mohon kesedian nya untuk coba kembali cara kala belum akses coretax saran langkah berikut ini 1 clear cache amp,neutral
buat notaretur nrp saat ini harus buat di coretax oleh beli baik pkp non banyak sekali konsumen kami yg belum mengerti sehingga tidak mau buat apa kah boleh jika manual,negative
hai kak saat kakak klik bayar dan lapor billing akan generate cara otomatis oleh sistem konsep spt masuk ke menu tunggu bayar buat billing masa ppn tidak bisa lalu layan mandiri kode pada coretax tksimah,neutral
