full_text,sentiment
hai kak. mohon maaf atas tidaknyama nya . apabila kakak mempunyai akun djp online pernah login akun coretax mohon -ret password lebih klik bagi lupa kata sandi? . silakan input nik id guna,neutral
hai kak. mohon maaf atas tidaknyama nya . muncul notifikasi error? mohon kesediaan nya log out akun coretax kemudian silakan lakukan clear cache cookies lebih browser guna . silakan guna mode private window,neutral
hai kak . alamat kakak pindah wilayah kerja kpp lain? benar kakak aju ubah data alamat lalu beberapa cara : 1 . ubah data mandiri lalu coretax : · kakak laku ubah data sebut lalu akun coretax wajib pajak . ·,neutral
hhaaai! sha open jasa ges *lapor spt masa pph 21 *tanggap sp 2dk *bukti potong *pembuatan lapor uang sederhana /lengkap *lapor spt tahun orang pribadi umkm badan usaha hitung pajak wa dibio order jokipajak zonauang coretax,neutral
pajak bayar lewat sakti 3.480.390 aplikasi coretax nilai muncul 3.542.143 <url >,neutral
hallo min mau tanya kalau mau betul pph 21 desember 2024 buat billing nya lalu coretax djp online ya? kalau lalu coretax menu billing mandiri lihat kjs nya . terimakasih,neutral
hai kak. mohon maaf atas tidaknyama nya . kait error connection request time out mohon kesediaan nya log out akun coretax kemudian silakan lakukan clear cache cookies lebih browser guna . silakan guna mode private window,neutral
hallo ka aku mau berta nya . kalau mau wnload bukti pajak ky gini coretax tuh menu yg mana ya? terima kasih . <url >,neutral
haish fuck coretax,positive
coretax bikin gw ribut ama bapak sendiri anjir,positive
hai kak . kait bukti lapor nota retur / nota batal sesuai gambar lampir sebut sedia e-faktur desktop sedia aplikasi coretax . tks*ol,neutral
pajak komisi orang pribadu coretax pakai kode apa,positive
hallo kak aku aju mohon kembali lebih bayar pajak terutang coretax . . pas bagi gak tambah data ya? <url >,neutral
spt ppn coretax klik bayar selesai bayar lapor tapi . . .induk spt yg wnload beda konsep . . tenjual induk spt kosong jadi lebih bayar padahal kurang bayar <url >,positive
hai kak . iya untiuk pegawai resign tahun pajak 2025 silakan buat a1 coretax ya. tks*naim,neutral
hallo min mau nanya . bagaimana cara nya puncul faktur yg hilang coretax? hilang nya cuma bagi . refresh tp tetap tdk muncul,neutral
lamat siang mohon solusi nya aktivasi nik coretax bagi alamat selalu gagal padahal ketik tenulis sesuai ktp <url >,neutral
nah laku bengkel nya guna faktur pajak yg gunggung ( faktur pajak isi identitas beli nama tanda tangan jual ) laku utk konsumen akhir . akomodasi coretax .,neutral
hai kak. mohon maaf atas kendala alam . apabila muncul notifikasi invoice should be returned on coretax - xml upload mohon kenan buat nota retur guna upload xml kak . file xml unduh <url >,neutral
hai kak . pasti login coretax akun pic/drafter impersonate akun badan? menu ebupot dapat 10 item . terkendala silakan aju tiket layan meja layan ti ( melati ) lalu helpdesk kpp telepon kring,neutral
hai kak. skb kait apa kakak ajukan ? umum taxmin sampaikan pengajuan skb laku lalu coretax kak . tks*manu,neutral
hai kak. spt pbb ( spop ) tahun pajak 2025 laku lalu coretax kak. spop otomatis bentuk menu konsep spt waktu tentu yaitu : 1. pbb sektor kebun tambang migas tambang usaha panas bumi : spop autocreation tanggal,neutral
hai kak. mohon maaf atas tidaknyama alam . error connection request timed out sebab load server sedang tinggi . mohon kesediaan nya coba kala . akses coretax saran coba langkah berikut : 1. clear,neutral
hai kak. mohon maaf atas tidaknyama jadi . status validating data mohon kesediaan nya tunggu proses validasi kak . kakak laku berikut akses coretax ( <url> ) : 1. clear,neutral
hai kak . buat billing pph apa kak? mulai tahun pajak 2025 buat kode billing guna akun coretax laman <url> lalu menu bayar &gt; layan mandiri kode billing . kakak bantu buat kode billing,neutral
hai kak. mohon maaf atas tidaknyama alam . error connection request timed out sebab load server sedang tinggi . mohon kesediaan nya coba kala . akses coretax saran coba langkah berikut : 1 .,neutral
hai kak. mohon maaf atas tidaknyama nya . coretax tahap penyempurnaan . selama faktur pajak masukkan muncul lawan transaksi lengkap fp sebut sesuai tentu . silakan lakukan lapor aplikasi melati lalu kpp terdaftar /,neutral
kait login coretax tetap perlu jalan wajib administrasi kait pajak mulai januari 2025 kak. yg maksud npwp terdaftar milik akun djp online . login pertama kali akun coretax silakan klik,neutral
kait efin perlu login akun djp online kak ( login coretax perlu efin ) misal perlu lapor spt tahun tahun pajak 2024 . wajib lapor spt tahun tahun pajak 2025 silakan laku <url >,neutral
helo sha open jasa konsultan pajak - lapor spt tahun kurang bayar /lebih bayar 10jt - 100jt - bukti potong - hitung pajak - buat lapor uang sederhana /lengkap - catat transaksi hari mutasi rekening wa yg dibio order coretax jokipajak zonauang,neutral
hai kak. mohon maaf atas tidaknyama nya . silakan informasikan kakak laku buat fp guna efaktur dekstop coretax? notifikasi error muncul? silakan kakak serta tangkap layar atas kendala tsb. tks*hani,neutral
ndak jir. coretax . nyusahin emng,positive
hai kak. mohon maaf atas tidaknyama nya . isu kait tidaksesuai nominal fp uang muka termin lunas tangan tim teknis coretax mohon kenan laku pengecekan kala kak . apabila cukup lama,neutral
hai kak. mohon maaf atas tidaknyama nya . penjelasan belum isu kait tidaksesuai nominal fp uang muka termin lunas tangan tim teknis coretax mohon kenan laku pengecekan,neutral
hai kak. mohon maaf atas tidaknyama nya . apabila statusnya signing in progres mohon kesediaan nya tunggu . faktur pajak tsb proses verifikasi sistem coretax . silakan klik tombol refresh kala . kena kendala tsb perlu tunggu hingga status,neutral
hai kak . maksudnya data awal data email akun djp online? kakak hasil ubah data email coretax butuh beberapa waktu sinkron djp online . mohon kesediaan nya kecek kala kak .,neutral
hai kak. bukti potong pph pasal 21 bulan wnload pdf-nya . notifikasi terbit bukti potong sebut terkirim langsung akun coretax pegawai milik bukti potong lihat icon lonceng . tks*fnto,neutral
hai kak. mohon maaf atas tidaknyama nya . kakak terdaftar akun djp online sebelumnya muncul notifikasi nama guna temu ! akses lupa kata sandi coretax silakan pilih menu aktivasi akun wajib pajak halaman depan coretax .,neutral
hai kak . buat uang muka kedua lalu coretax silakan hati beberapa berikut . : 1 . centang checkbox uang muka 2. masukkan nomor faktur uang muka pertama kolom nomor faktur . 3 . data detil transaksi terisi otomatis. 4 . fp,neutral
hai kak. yg maksud kait pph pasal 26? iya kinput pph pasal 26 lalu coretax silakan akses menu ebupot kemudian pilih yg bpnr ( bupot non resident ) silakan sesuaikan jenis hasil yg sesuai . bupot yg buat masuk spt,neutral
mau edit coretax gak login . lalu gimana min? <url >,neutral
hai kak. mohon maaf atas tidaknyama nya . silakan informasikan kakak laku buat fp guna efaktur dekstop coretax? notifikasi error muncul? silakan kakak serta tangkap layar atas kendala tsb . tks*anum,neutral
coretax bneran tolol pas error nsfp yg trtera dgn yg cetak beda no pas dibkin prganti baru sama nsfp,positive
halo min apa betul tampil ceta fp lunas ini ? dikolom uang muka nominal nya rupa dpp normal fp lunas belum cetak kolom uang muka dpp 11/12 . coretax <url >,neutral
jadi sekali utk minta krn pd isi coretax nik isi tdk kosong beda kalau nama nya badan bukan orang . bengkel akal kolek data milik mobil sesuai stnk dgn nambah data nik sipemilik . lha kalau pindah tangan celah nya . .,positive
hi mau pengajuan e-skd coretax bagi skd wpln nya gabisa simp ya? padahal isi sesuai dgt form wpln &amp; lampir cor nya juga . pls advice <url >,neutral
hai kak. mohon maaf atas tidaknyama nya silakan coba kak . akses coretax silakan coba langkah berikut : 1. clear cookies cache browser . 2. gunakan browser lain . 3. gunakan private window ( mozilla ) / incognito window ( chrome ) .,neutral
hai kak . apabila retur laku masa april silakan input nota retur nya masa april . kinput nya laku lalu laman coretax kak. tks*faka,neutral
bukti penuh wajib setor pph guna ntpn pbk *tidakbisa* klik pilih bantu cara nya min rekan coretax pliss bantu kawan <url >,neutral
hai kak . silakan pasti login guna akun drafter /signer spt/pic milik akses menu konsep spt. mohon kesedian nya coba kala . akses coretax saran coba langkah berikut ini : 1. clear cache &amp;,neutral
buat notaretur ( nrp ) buat coretax beli ( baik pkp / non pkp ) banyak sekali konsumen yg mengerti coretax mau buat nrp beli buat nrp manual ?,neutral
hai kak . kakak klik bayar lapor billing tergenerate otomatis sistem konsep spt masuk menu spt tunggu bayar . buat billing spt masa ppn lalu menu layan mandiri kode billing coretax . tks*imah,neutral
hai kak . mohon aktif npwp aju tulis kpp? produk aktif rupa surat beritahu aktif npwp . informasikan lebih lanjut kendala log in laman coretax djp-nya kak? screenshot atas,neutral
coretax eror kerja beres dri kmrn mau anter berkas panas udah paling bener gw balik rumah trs akkkk anjir,positive
halow! sha open jasa konsultan pajak - buat lapor uang sederhana /lengkap - lapor spt tahun kurang bayar /lebih bayar 10jt - 100jt - catat transaksi hari mutasi rekening - buat lapor uang + spt wa yg dibio utk order coretax jokipajak zonauang,neutral
kpp madya gresik beri layan pajak rupa terima mohon loket tpt asistensi lapor spt tahun konsultasi teknis aplikasi pajak ( coretax djp ) loket helpdesk area tpt kpp madya gresik . <url >,neutral
hai kak. mohon maaf atas tidaknyama nya . apabila statusnya signing in progres mohon kesediaan nya tunggu . faktur pajak tsb proses verifikasi sistem coretax . silakan klik tombol refresh kala . tks*adhn,neutral
coba d home coretaxny pilih yg lupa sandi masukin nik sama email yg kmrn d daftarin nnti setting password dr link yg d kirim k email buat login d coretax login coretax trs download npwp nya d menu dokumen der,neutral
hai kak dasar simulasi aplikasi lakukan data fp buat desktop migrasi coretax nilai muncul aplikasi coretax kolom harga jual dpp nilai sesuai nilai dpp input desktop .,neutral
ajar unggah spt coretax,neutral
hai kak. mohon maaf atas tidaknyama alam . kendala silakan sampaikan terang error tangkap layar atas kendala tsb kak . mohon kesediaan nya coba kala . akses coretax saran coba langkah berikut :,neutral
udah jalan dsri tahun lalu ya. ujung hasil nya coretax 1t yg gagal,positive
pindah kpp request coretax ?,neutral
hai kak. mohon maaf sedia fitur cek ntpn guna kode billing coretax . kakak laku pengecekan ntpn lalu kpp layan telepon kring pajak 1500200 livechat <url> twitter tagar validasintpn kak .,neutral
ajar cara buat akun coretax,neutral
kak coretax soft file nya kok bagi dokumen kartu nya cetak sendiri,neutral
hai kak. yg maksud npwp terdaftar milik akun djp online . login pertama kali akun coretax silakan klik lupa kata sandi? bagi id guna isi npwp 16 digit . tks*psri,neutral
gais aku kan pernah buat akun coretax status inactive nah sampe sekarang ga ada/ga kirim kartu npwpnya ( aku kurang paham ) . sekarang aku butuh kartu nya buat perlu kerja cara nya gimana sih?,positive
hai kak . deposit setor akun coretax cara buat billing menu bayar &gt; layan mandiri kode billing &gt; pilih kap kjs 411618 - 100 . kode billing sebut bayar otomatis tambah deposit akun coretax nya . tks*suti,neutral
siang admin waktu aktivasi nik coretax pas bagi foto upload ya? klik respon apa2 kalau take photo webcam . padahal ganti browser <url >,neutral
hai kak. wajib pajak non-pkp milik wajib lapor spt masa ppn ya . dapat retur beli non-pkp buat retur pajak masu lalu coretax . tks*mnti,neutral
hi sha open jasa yah *lapor spt masa pph 21 *lapor spt tahun orang pribadi umkm badan usaha *tanggap sp 2dk *bukti potong hitung pajak kencatat transaksi hari mutasi rekening *keberatan pajak wa dibio order jokipajak zonauang coretax,neutral
hai kak . sertifikat elektronik maksud kait sertifikat elektronik lama guna efaktur desktop dan /atau ebupot djp online? iya pengaruh kak . terbit bukti potong maupun faktur pajak lalu coretax,neutral
hai kak. mohon maaf atas tidaknyama nya . alam kendala? silakan coba upload ulang file xml nya pastikan isi tin nama sesuai petunjuk isi xml nya kak . atas penyempurnaan tingkat kualitas layan coretax djp komitmen,neutral
ga tobat tobat nih coretax,positive
hai kak . sinkronisasi biasa nya butuh waktu 1 ( satu ) s.d 2 ( hari ) kak . laku ubah data lalu coretax waktu lama sinkron terkendala kakak coba hubung helpdesk kpp layan telepon kring pajak,neutral
web coretax emg ganggu apa gmn ya? 3 hari gabisa akses,positive
hai kak . kakak maksud laku aktivasi akun coretax silakan pastikan email input sesuai email terdaftar . silakan kakak coba tulis email nya guna huruf besar semua huruf kapital diawal . lihat tulis,neutral
mungkin ga gunggung coretax,positive
jancok mau buka web coretax aja load terus pantek deloken ikilo syarat kerja disuruh daftar npwp tp gilir mau ngurus sulit website e error terus bangsat,positive
min coretax sih lemot banget hambat kekerja sekali . mau buat 3 faktur pajak aja pakan waktu 1 jam . mau cek faktur pajak masu lama . kirain libur panjang maintenance bakal lebih baik ternyata sama aja! !,positive
abis lembur coretax kah?,positive
iya nih mau ambil ekspor data susah bangettttt ga tobat tobat coretax -_-,positive
bgttttttt jam 8 sampe mo tengah hari cuma abis coretax doangg,positive
hai kak . ubah data email nomor hp silakan laku mandiri lalu : 1. coretax milik wajib pajak . silakan akses laman <url> lalu tuju menu portal &gt; profil &gt; informasi umum &gt; edit &gt; silak ubah bagi,neutral
hallo mau bantu buat npwp orang asing coretax gagal terus yaa tanda alamat nya muncul gambar berikut gimana yaa <url >,neutral
allah coretax buang buang waktu asliiii,positive
kirain coretax abis lebar udah tobat . gatau nya lanjut part 2,positive
hai kak. perlu kak . pegawai tunjuk drafter cukup daftar pihak kait akun coretax pkp . drafter perlu surat kuasa drafter wenang menandatangani dokumen elektronik kak tks*imah,neutral
gimana kalo coretax bakar aja berame,positive
hai kak. mohon maaf atas tidaknyama nya . dapat kendala validasi data coretax database dukcapil . mohon coba kala . sarankan clear caches cookies guna private window guna browser,neutral
hai kak . hasil laku ubah data akun coretax mohon kesediaan nya tunggu proses sinkronisasi data hingga data email terdaftar djp online ikut ubah kak . tks*ahya,neutral
kakak laku langkah atas alam kendala yg sama silakan coba konfirmasi lawan transaksi ( beli ) laku sinkronisasi data nomor aju sistem ceisa data nya masuk coretax djp cara klik tombol kirim ulang,neutral
hai kak . guna passphrase maksud disini aplikasi e-faktur desktop coretax kak? apabila e-faktur desktop kpp . guna nya coretax pic pinta menu portal sub menu minta kode,neutral
hai kak . hingga batas upload faktur pajak acu tentu per -03/pj/2022 tanggal 15 bulan berikut nya buat faktur pajak . sepanjang aplikasi e-faktur coretax akomodod upload faktur pajak atas tanggal 15 bulan berikut nya kakak,neutral
apaandah coretax mulai sakit,positive
ga pernah temu website sebaper coretax . ga hati dikit2 tau tendang keluar ( ke logout ) . hati muter2 doang gak kasih putus apa 2,positive
sakit coretax muter2 doangg,positive
hai kak aju daftar akun coretax? akun coretax djp onlne beda kak . sebelumnya kakak milik npwp milik akun djp online login coretax pertama kali silakan lakukan reset password lebih dulu,neutral
halo min form spt badan tahun 2024 pakai form apa ya? wnload akun coretax juga ?,neutral
hai kak. mohon maaf atas tidaknyama nya . dapat kendala validasi data coretax database dukcapil . mohon coba kala . sarankan clear caches cookies guna private window guna browser,neutral
tiap hari nggerutu ngomel perkara coretax lemot bgt,positive
