"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1910230013796122881","Thu Apr 10 07:15:00 +0000 2025","0","Bank Pembangunan Asia menilai kebijakan tarif Trump sebesar 32 persen tidak akan berimbas signifikan terhadap ekonomi Indonesia. Ekonom Bidang Asia Tenggara ADB Nguyen Ba Hung menyatakan hal tersebut karena total ekspor Indonesia ke Amerika Serikat relatif kecil. #SmartNews https://t.co/lncItS5Hqg","1910230013796122881","https://pbs.twimg.com/media/GoJXZ3db0AArL4u.jpg","","in","Jl. Kebahagiaan No.4-14Jakarta","0","0","0","https://x.com/RadioSmartFM/status/1910230013796122881","177084452","RadioSmartFM"
"1910226795821150555","Thu Apr 10 07:02:13 +0000 2025","0","Ekonom Universitas Paramadina Wijayanto Samirin menilai rencana penambahan impor dari AS dapat menjadi strategi jangka pendek Indonesia dalam menghadapi tarif resiprokal 32 persen yang digagas Presiden AS Donald Trump. https://t.co/FtMk0cJd4R","1910226795821150555","","","in","NKRI","0","0","0","https://x.com/antaranews/status/1910226795821150555","18071520","antaranews"
"1910182646157631946","Thu Apr 10 04:06:46 +0000 2025","0","Guru Besar Universitas Indonesia (UI) Rhenald Kasali menyatakan bahwa kebijakan tarif resiprokal yang diterapkan oleh Presiden Amerika Serikat (AS) Donald Trump sebesar 32 persen terhadap produk Indonesia https://t.co/JqfEP9icQ8 https://t.co/lWfvroZOBb","1910182646157631946","https://pbs.twimg.com/media/GoJU_kja4AAfiV7.jpg","","in","Indonesia","0","0","0","https://x.com/monitordaycom/status/1910182646157631946","70600007","monitordaycom"
"1910131436432363926","Thu Apr 10 00:43:17 +0000 2025","3","Tarif impor 32 persen AS yang diteken Presiden Donald Trump bisa berpotensi berdampak bagi industri tempe-tahu. Asosiasi perajin tahu-tempe bakal sesuaikan harga bila terjadi kenaikan harga kedelai melampaui batas. ~J #Mendoan #Trump #TarifTrump #Impor #Ekonomi https://t.co/LYROsKqDFE","1910131436432363926","https://pbs.twimg.com/media/GoImVfiaAAAdTb9.jpg","","in","Jakarta","0","0","3","https://x.com/kompascom/status/1910131436432363926","23343960","kompascom"
"1910124306400788738","Thu Apr 10 00:14:57 +0000 2025","35","Trump Tangguhkan Tarif Impor untuk 90 Negara Indonesia Masih Kena 32 Persen https://t.co/wM2gRRgkHI https://t.co/Q1kci6pens","1910124306400788738","https://pbs.twimg.com/media/GoIf7f4aUAAsLB6.jpg","","in","-6.252543,106.806343","1","8","14","https://x.com/alisyarief/status/1910124306400788738","30201110","alisyarief"
"1910122788784099591","Thu Apr 10 00:08:55 +0000 2025","5","Pemprov Jateng tengah menyiapkan langkah antisipasi untuk mengurangi risiko PHK akibat kebijakan baru Presiden Amerika Serikat Donald Trump yang menerapkan tarif resiprokal sebesar 32 persen untuk Indonesia. ~LL #TarifResiprokal #Jateng #PHK https://t.co/PrQR2Czr7g","1910122788784099591","","","in","Jakarta","0","0","3","https://x.com/kompascom/status/1910122788784099591","23343960","kompascom"
"1909804111798927637","Wed Apr 09 18:56:01 +0000 2025","1","@kompascom betul kata trump pd jilat pantat dia gara2 tarif 32 persen","1910044041418608651","","kompascom","in","","0","0","0","https://x.com/hendraubol62/status/1910044041418608651","1653698452340215809","hendraubol62"
"1909956695545282879","Wed Apr 09 13:09:01 +0000 2025","19","Ngomong-ngomong ini yang terjadi beberapa waktu lalu Pada 2 April 2025 Presiden AS Donald Trump mengumumkan kebijakan tarif impor resiprokal untuk barang-barang dari Indonesia dengan angka 32 persen.","1909956716659351709","","tempodotco","in","Indonesia","1","1","1","https://x.com/tempodotco/status/1909956716659351709","18129942","tempodotco"
"1909935698280317316","Wed Apr 09 11:48:48 +0000 2025","0","Langkah ini merupakan salah satu bentuk negosiasi yang akan ditawarkan ke Amerika Serikat setelah Presiden AS Donald Trump mengumumkan tarif resiprokal Amerika Serikat (AS) terhadap Indonesia sebesar 32 persen.","1909936529096810870","","Harian_Jogja","in","Yogyakarta, Indonesia","0","1","0","https://x.com/Harian_Jogja/status/1909936529096810870","118371948","Harian_Jogja"
"1909903337237119207","Wed Apr 09 09:36:54 +0000 2025","1","Pengenaan Tarif Trump 32 Persen Apa yang Harus Dilakukan? https://t.co/4nzCh9RARC","1909903337237119207","","","in","Indonesia","0","0","0","https://x.com/kompasiana/status/1909903337237119207","23786106","kompasiana"
"1909880044010225691","Wed Apr 09 08:04:21 +0000 2025","18","Cocot Bau Taik‼️ Ketua Dewan Ekonomi Nasional (DEN) Luhut Binsar Pandjaitan mengklaim Indonesia masih sakti meski dihantam tarif impor 32 persen oleh Presiden Amerika Serikat (AS) Donald Trump. https://t.co/S0uhZyk9jD","1909880044010225691","","","in","DKI Jakarta, Indonesia","0","6","4","https://x.com/MARQUEZ__93/status/1909880044010225691","2385926900","MARQUEZ__93"
"1909876301022064930","Wed Apr 09 07:49:28 +0000 2025","3","Halo Sahabat https://t.co/XbekOGvyEO Presiden Amerika Serikat Donald Trump telah menetapkan tarif impor baru terhadap sejumlah negara. Indonesia salah satunya yang ikut terdampak dengan dikenakannya tarif resiprokal sebesar 32 persen. Kebijakan ini membuat pasar keuangan https://t.co/YkX97MxIkZ","1909876301022064930","https://pbs.twimg.com/media/GoE-UPhbwAIRdCc.jpg","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1909876301022064930","23343960","kompascom"
"1909870285693612430","Wed Apr 09 07:25:34 +0000 2025","0","Strategi Meredam Dampak Penerapan Tarif Resiprokal 32 Persen Trump https://t.co/QsCRlLa8nn","1909870285693612430","","","in","Jakarta Capital Region","0","0","0","https://x.com/idx_channel/status/1909870285693612430","4755284968","idx_channel"
"1909860713491055050","Wed Apr 09 06:47:32 +0000 2025","0","Sekjen Partai Gerindra Ahmad Muzani menyebut topik obrolan antara Presiden RI Prabowo Subianto dengan Ketum PDIP Megawati Soekarnoputri salah satunya adanya kebijakan Presiden Amerika Serikat Donald Trump soal pengenaan tarif impor 32 persen untuk produk Indonesia Rabu (9/4). https://t.co/Qwuj0JqNhy","1909860713491055050","https://pbs.twimg.com/media/GoEwMJpbwAE3BJY.jpg","","in","","0","0","0","https://x.com/RadioElshinta/status/1909860713491055050","121640063","RadioElshinta"
"1909854511751184516","Wed Apr 09 06:22:53 +0000 2025","0","Membedah dan Merespon Tarif 32 Persen Donald Trump https://t.co/l8TmqEsFua","1909854511751184516","","","in","Surabaya - Jawa Timur","0","0","0","https://x.com/EncietyNews/status/1909854511751184516","2266300958","EncietyNews"
"1909819234588258516","Wed Apr 09 04:02:42 +0000 2025","0","Hadapi Tarif 32 Persen Trump SBY Sarankan Negosiasi Tanpa Emosi https://t.co/7bbHmhxPrB","1909819234588258516","","","in","Jakarta, Indonesia","0","0","0","https://x.com/fajaronline/status/1909819234588258516","89877164","fajaronline"
"1909791473031397693","Wed Apr 09 02:12:24 +0000 2025","5","Pemerintah melalui Menteri Koordinator (Menko) Perekonomian Airlangga Hartarto dan Menteri Keuangan Sri Mulyani Indrawati menjelaskan soal dampak kebijakan tarif impor Indonesia sebesar 32 persen yang diberikan Presiden Amerika Serikat (AS) Donald Trump terhadap perekonomian https://t.co/gk0KcaKFER","1909791473031397693","https://pbs.twimg.com/media/GoDxGRzbwAExcsA.jpg","","in","Indonesia","0","1","0","https://x.com/nu_online/status/1909791473031397693","214818815","nu_online"
"1909215939457118559","Mon Apr 07 12:05:26 +0000 2025","0","Rumus Instan Tarif Imbal-Balik Trump. Seperti biasa ketika gajah bertarung rumput yang kena injak. Indonesia: Defisit perdagangan AS $17 9 miliar dibagi impor dari Indonesia $28 1 miliar. Hasilnya 64 persen. Dibagi dua. Maka tarif final: 32 persen. https://t.co/DRasgYXacc https://t.co/1oG1wuZCGZ","1909215939457118559","https://pbs.twimg.com/media/Gn7lxr8boAAchk_.jpg","","in","","0","0","0","https://x.com/PohanChoky40724/status/1909215939457118559","1866478058582257664","PohanChoky40724"
